[00:00:00.000 --> 00:00:06.660]  Hi Lam.
[00:43:28.360 --> 00:43:30.360]  Oder ist das raus?
[00:43:32.360 --> 00:43:34.360]  Verdacht, verdacht.
[00:43:34.360 --> 00:43:35.360]  Ah, vielleicht.
[00:43:35.360 --> 00:43:36.360]  Nur verdacht.
[00:43:36.360 --> 00:43:38.360]  Ist nicht gesichert.
[00:43:38.360 --> 00:43:40.360]  Verdacht.
[00:43:40.360 --> 00:43:41.360]  Veracht.
[00:43:41.360 --> 00:43:43.360]  Das ist ...
[00:43:43.360 --> 00:43:44.360]  Verdacht auf.
[00:43:44.360 --> 00:43:46.360]  Es wird vermutet.
[00:43:46.360 --> 00:43:47.360]  Man weiß es aber nicht.
[00:43:47.360 --> 00:43:49.360]  Wohne Vermutung.
[00:43:49.360 --> 00:43:51.360]  Kleines Sicherheit.
[00:43:51.360 --> 00:43:53.360]  Das ist das wahr.
[00:43:53.360 --> 00:43:55.360]  Okay.
[00:43:55.360 --> 00:43:57.360]  Ja, okay.
[00:43:57.360 --> 00:43:59.360]  Wie sieht diese Dokumann?
[00:43:59.360 --> 00:44:01.360]  Ja, das ist ...
[00:44:01.360 --> 00:44:04.360]  Ich schreib's auf.
[00:44:04.360 --> 00:44:05.360]  Okay.
[00:44:05.360 --> 00:44:06.360]  Ist gut.
[00:44:06.360 --> 00:44:07.360]  Okay, danke.
[00:44:07.360 --> 00:44:08.360]  Ja.
[00:44:17.360 --> 00:44:19.360]  Okay, dann ...
[00:44:19.360 --> 00:44:21.360]  Ich will den Lack.
[00:44:21.360 --> 00:44:24.360]  Ja, dann will die Kuchen noch mal ...
[00:44:24.360 --> 00:44:27.360]  ... ... ...
[00:44:27.360 --> 00:44:29.360]  ...
[00:44:29.360 --> 00:44:31.360]  ...
[00:44:31.360 --> 00:44:35.360]  ...
[00:44:35.360 --> 00:44:37.360]  Jetzt geht's.
[00:44:37.360 --> 00:44:41.360]  Wir sehen uns am neunten Januar.
[00:44:41.360 --> 00:45:00.860]  Wir sehen uns am neunten
[00:45:00.860 --> 00:45:04.360]  Guten Zeit, Marc, ist super.
[00:45:05.360 --> 00:45:06.360]  Guten Tag.
[00:45:06.360 --> 00:45:07.360]  Ja, danke auch.
[00:45:07.360 --> 00:45:08.360]  In auch.
[00:45:08.360 --> 00:45:09.360]  Guten Tag.
[00:45:09.360 --> 00:45:11.360]  Guten Tag.
[00:45:11.360 --> 00:45:13.360]  Marc, eracht die nicht.
[00:45:13.360 --> 00:45:14.360]  Tschüss.
[00:45:14.360 --> 00:45:15.360]  Tschüss, Marc.
[00:45:15.360 --> 00:45:16.360]  Danke schön.
[00:45:16.360 --> 00:45:17.360]  Tschüss.
[00:45:17.360 --> 00:45:18.360]  Danke.
[00:45:18.360 --> 00:45:19.360]  Tschüss.
[00:45:19.360 --> 00:45:21.360]  Danke.
[00:45:21.360 --> 00:45:22.360]  Das ist schon nicht drin.
[00:45:22.360 --> 00:45:23.360]  Ah?
[00:45:23.360 --> 00:45:25.360]  Ich muss noch mal die Kuhlschule tun.
[00:45:25.360 --> 00:45:26.360]  Ist das schon mal?
[00:45:26.360 --> 00:45:28.360]  Das ist schon raus.
